title,lyrics,image,contributors,translations,translation_count,verse,refrain,pre-chorus,chorus,post-chorus,bridge,outro,genius_popularity,album,release_date,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
all too well (10 minute version),"
i walked through the door with you, the air was cold
but somethin' 'bout it felt like home somehow
and i left my scarf there at your sister's house
and you've still got it in your drawer, even now


oh, your sweet disposition and my wide-eyed gaze
we're singin' in the car, getting lost upstate
autumn leaves fallin' down like pieces into place
and i can picture it after all these days

and i know it's long gone and
that magic's not here no more
and i might be okay, but i'm not fine at all
oh, oh, oh


'causе there we arе again on that little town street
you almost ran the red 'cause you were lookin' over at me
wind in my hair, i was there
i remember it all too well


photo album on the counter, your cheeks were turnin' red
you used to be a little kid with glasses in a twin-sized bed
and your mother's tellin' stories 'bout you on the tee-ball team
you taught me 'bout your past, thinkin' your future was me
and you were tossing me the car keys, ""fuck the patriarchy""
keychain on the ground, we were always skippin' town
and i was thinkin' on the drive down, ""any time now
he's gonna say it's love,"" you never called it what it was
'til we were dead and gone and buried
check the pulse and come back swearin' it's the same
after three months in the grave
and then you wondered where it went to as i reached for you
but all i felt was shame and you held my lifeless frame
you might also like
and i know it's long gone and
there was nothing else i could do
and i forget about you long enough
to forget why i needed to


'cause there we are again in the middle of the night
we're dancin' 'round the kitchen in the refrigerator light
down the stairs, i was there
i remember it all too well
and there we are again when nobody had to know
you kept me like a secret, but i kept you like an oath
sacred prayer and we'd swear
to remember it all too well, yeah


well, maybe we got lost in translation, maybe i asked for too much
but maybe this thing was a masterpiece 'til you tore it all up
runnin' scared, i was there
i remember it all too well
and you call me up again just to break me like a promise
so casually cruel in the name of bein' honest
i'm a crumpled-up piece of paper lyin' here
'cause i remember it all, all, all

they say all's well that ends well, but i'm in a new hell
every time you double-cross my mind
you said if we had been closer in age, maybe it would've been fine
and that made me want to die
the idea you had of me, who was she?
a never-needy, ever-lovely jewel whose shine reflects on you
not weepin' in a party bathroom
some actress askin' me what happened, you
that's what happened, you
you who charmed my dad with self-effacing jokes
sippin' coffee like you're on a late-night show
but then he watched me watch the front door all night, willin' you to come
and he said, ""it's supposed to be fun turning twenty-one""


time won't fly, it's like i'm paralyzed by it
i'd like to be my old self again, but i'm still tryin' to find it
after plaid shirt days and nights when you made me your own
now you mail back my things and i walk home alone
but you keep my old scarf from that very first week
'cause it reminds you of innocence and it smells like me
you can't get rid of it
'cause you remember it all too well, yeah


'cause there we are again when i loved you so
back before you lost the one real thing you've ever known
it was rare, i was there
i remember it all too well
wind in my hair, you were there
you remember it all
down the stairs, you were there
you remember it all
it was rare, i was there
i remember it all too well


and i was never good at tellin' jokes, but the punch line goes
""i'll get older, but your lovers stay my age""
from when your brooklyn broke my skin and bones
i'm a soldier who's returning half her weight
and did the twin flame bruise paint you blue?
just between us, did the love affair maim you too?
'cause in this city's barren cold
i still remember the first fall of snow
and how it glistened as it fell
i remember it all too well


just between us, did the love affair maim you all too well?
just between us, do you remember it all too well?
just between us, i remember it (just between us) all too well
wind in my hair, i was there, i was there (i was there)
down the stairs, i was there, i was there
sacred prayer, i was there, i was there
it was rare, you remember it all too well
wind in my hair, i was there, i was there (oh)
down the stairs, i was there, i was there (i was there)
sacred prayer, i was there, i was there
it was rare, you remember it (all too well)
wind in my hair, i was there, i was there
down the stairs, i was there, i was there
sacred prayer, i was there, i was there
it was rare, you remember it
wind in my hair, i was there, i was there
down the stairs, i was there, i was there
sacred prayer, i was there, i was there
it was rare, you remember it217embed",https://images.genius.com/aac8ea3f13ae887a7f1fd9cdd451374e.300x300x1.png,332,EspañolСрпскиРусскийPortuguêsNorsk (bokmål / riksmål)FrançaisفارسیNederlands,5.0,6.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,red,2021-11-12,30.0,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,83.0,613026.0
cardigan,"
vintage tee, brand new phone
high heels on cobblestones
when you are young, they assume you know nothing
sequin smile, black lipstick
sensual politics
when you are young, they assume you know nothing


but i knew you
dancin' in your levi's
drunk under a streetlight, i
i knew you
hand under my sweatshirt
baby, kiss it better, i

and when i felt like i was an old cardigan
under someone's bed
you put me on and said i was your favorite


a friend to all is a friend to none
chase two girls, lose the one
when you are young, they assume you know nothing


but i knew you
playing hide-and-seek and
giving me your weekends, i
i knew you
your heartbeat on the high line
once in twenty lifetimes, i


and when i felt like i was an old cardigan
under someone's bed
you put me on and said i was your favorite


to kiss in cars and downtown bars
was all we needed
you drew stars around my scars
but now i'm bleedin'
you might also like
'cause i knew you
steppin' on the last train
marked me like a bloodstain, i
i knew you
tried to change the ending
peter losing wendy, i
i knew you
leavin' like a father
running like water, i
and when you are young, they assume you know nothing


but i knew you'd linger like a tattoo kiss
i knew you'd haunt all of my what-ifs
the smell of smoke would hang around this long
'cause i knew everything when i was young
i knew i'd curse you for the longest time
chasin' shadows in the grocery line
i knew you'd miss me once the thrill expired
and you'd be standin' in my front porch light
and i knew you'd come back to me
you'd come back to me
and you'd come back to me
and you'd come back

and when i felt like i was an old cardigan
under someone's bed
you put me on and said i was your favorite169embed",https://images.genius.com/06eb9be0620a686ba2c8f981fdd741c0.300x300x1.png,261,NederlandsTürkçeEspañolСрпскиРусскийRomânăPortuguêsEnglishItalianoBahasa IndonesiaMagyarDeutschFrançaisHrvatskiChinese TraditionalΕλληνικάУкраїнська,15.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,folklore,2020-08-18,2.0,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,71.0,239560.0
exile,"
i can see you standing, honey
with his arms around your body
laughin', but the joke's not funny at all
and it took you five whole minutes
to pack us up and leave me with it
holdin' all this love out here in the hall


i think i've seen this film before
and i didn't like the ending
you're not my homeland anymore
so what am i defending now?
you were my town, now i'm in exile, seein' you out
i think i've seen this film before

ooh, ooh, ooh


i can see you starin', honey
like he's just your understudy
like you'd get your knuckles bloody for me
second, third, and hundredth chances
balancin' on breaking branches
those eyes add insult to injury


i think i've seen this film before
and i didn't like the ending
i'm not your problem anymore
so who am i offending now?
you were my crown, now i'm in exile, seein' you out
i think i've seen this film before
so i'm leaving out the side door

so step right out, there is no amount
of crying i can do for you
all this time
we always walked a very thin line
you didn't even hear me out (you didn't even hear me out)
you never gave a warning sign (i gave so many signs)
all this time
i never learned to read your mind (never learned to read my mind)
i couldn't turn things around (you never turned things around)
'cause you never gave a warning sign (i gave so many signs)
so many signs, so many signs
you didn't even see the signs
you might also like
i think i've seen this film before
and i didn't like the ending
you're not my homeland anymore
so what am i defending now?
you were my town, now i'm in exile, seein' you out
i think i've seen this film before
so i'm leavin' out the side door


so step right out, there is no amount
of crying i can do for you
all this time
we always walked a very thin line
you didn't even hear me out (didn't even hear me out)
you never gave a warning sign (i gave so many signs)
all this time
i never learned to read your mind (never learned to read my mind)
i couldn't turn things around (you never turned things around)
'cause you never gave a warning sign (i gave so many signs)
you never gave a warning sign (all this time)
(so many times) i never learned to read your mind
(so many signs) i couldn't turn things around (i couldn't turn things around)
'cause you never gave a warning sign (you never gave a warning sign)
you never gave a warning sign
ah, ah109embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,221,NederlandsTürkçeEspañolСрпскиРусскийPortuguêsفارسیItalianoMagyarTaylor Swift - exile ft. Bon Iver (Deutsche Übersetzung)FrançaisHrvatskiΕλληνικάУкраїнська,13.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,folklore,2020-08-18,4.0,0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,0.16,68.0,285640.0
lover,"
we could leave the christmas lights up 'til january
and this is our place, we make the rules
and there's a dazzling haze, a mysterious way about you, dear
have i known you twenty seconds or twenty years?

can i go where you go?
can we always be this close?
forever and ever, ah
take me out and take me home
you're my, my, my, my lover

we could let our friends crash in the living room
this is our place, we make the call
and i'm highly suspicious that everyone who sees you wants you
i've loved you three summers now, honey, but i want 'em all

can i go where you go?
can we always be this close?
forever and ever, ah
take me out and take me home (forever and ever)
you're my, my, my, my lover


ladies and gentlemen, will you please stand?
with every guitar string scar on my hand
i take this magnetic force of a man to be my lover
my heart's been borrowed and yours has been blue
all's well that ends well to end up with you
swear to be overdramatic and true to my lover
and you'll save all your dirtiest jokes for me
and at every table, i'll save you a seat, lover

can i go where you go?
can we always be this close?
forever and ever, ah
take me out and take me home (forever and ever)
you're my, my, my, my
oh, you're my, my, my, my
darling, you're my, my, my, my loveryou might also like132embed",https://images.genius.com/960edcb36156c3aed9cb70ede250780a.300x300x1.jpg,166,NederlandsEspañolBosanskiRomânăPortuguêsPolskiItalianoDeutschFrançaisفارسی,9.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,lover,2019-08-23,3.0,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,0.453,85.0,221306.0
the 1,"
i'm doing good, i'm on some new shit
been saying ""yes"" instead of ""no""
i thought i saw you at the bus stop, i didn't though
i hit the ground running each night
i hit the sunday matinée
you know the greatest films of all time were never made


i guess you never know, never know
and if you wanted me, you really should've showed
and if you never bleed, you're never gonna grow
and it's alright now

but we were something, don't you think so?
roaring twenties, tossing pennies in the pool
and if my wishes came true
it would've been you
in my defense, i have none
for never leaving well enough alone
but it would've been fun
if you would've been the one
(ooh)


i have this dream you're doing cool shit
having adventures on your own
you meet some woman on the internet and take her home
we never painted by the numbers, baby
but we were making it count
you know the greatest loves of all time are over now


i guess you never know, never know
and it's another day waking up alone


but we were something, don't you think so?
roaring twenties, tossing pennies in the pool
and if my wishes came true
it would've been you
in my defense, i have none
for never leaving well enough alone
but it would've been fun
if you would've been the one
you might also like
i, i, i persist and resist the temptation to ask you
if one thing had been different
would everything be different today?


we were something, don't you think so?
rosé flowing with your chosen family
and it would've been sweet
if it could've been me
in my defense, i have none
for digging up the grave another time
but it would've been fun
if you would've been the one
(ooh)101embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,167,NederlandsTürkçeEspañolСрпскиРусскийPortuguêsItalianoMagyarDeutschFrançaisفارسیHrvatskiΕλληνικάУкраїнська,9.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,folklore,2020-08-18,1.0,0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,0.163,68.0,210240.0
august,"
salt air, and the rust on your door
i never needed anything more
whispers of ""are you sure?""
""never have i ever before""


but i can see us lost in the memory
august slipped away into a moment in time
'cause it was never mine
and i can see us twisted in bedsheets
august sipped away like a bottle of wine
'cause you were never mine

your back beneath the sun
wishin' i could write my name on it
will you call when you're back at school?
i remember thinkin' i had you


but i can see us lost in the memory
august slipped away into a moment in time
'cause it was never mine
and i can see us twisted in bedsheets
august sipped away like a bottle of wine
'cause you were never mine


back when we were still changin' for the better
wanting was enough
for me, it was enough
to live for the hope of it all
cancel plans just in case you'd call
and say, ""meet me behind the mall""
so much for summer love and saying ""us""
'cause you weren't mine to lose
you weren't mine to lose, no


but i can see us lost in the memory
august slipped away into a moment in time
'cause it was never mine
and i can see us twisted in bedsheets
august sipped away like a bottle of wine
'cause you were never mine
you might also like
'cause you were never mine
never mine
but do you remember?
remember when i pulled up and said ""get in the car""
and then canceled my plans just in case you'd call?
back when i was livin' for the hope of it all, for the hope of it all
""meet me behind the mall""
(remember when i pulled up and said ""get in the car"")
(and then canceled my plans just in case you'd call?)
(back when i was livin' for the hope of it all, for the hope of it all)
(""meet me behind the mall"")
remember when i pulled up and said ""get in the car""
and then canceled my plans just in case you'd call?
back when i was livin' for the hope of it all (for the hope of it all)
for the hope of it all, for the hope of it all
(for the hope of it all, for the hope of it all)121embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,145,NederlandsTürkçeEspañolСрпскиРусскийPortuguêsEnglishItalianoMagyarDeutschFrançaisTaylor Swift - august (Ελληνική μετάφραση/Greek Translation)RomânăPolskiУкраїнська,15.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,6.0,folklore,2020-08-18,8.0,0.553,0.387,0.634,6.93e-05,0.0931,-9.222,0.0363,89.567,0.42,69.0,261920.0
look what you made me do,"
i don't like your little games
don't like your tilted stage
the role you made me play
of the fool, no, i don't like you
i don't like your perfect crime
how you laugh when you lie
you said the gun was mine
isn't cool, no, i don't like you (oh)


but i got smarter, i got harder in the nick of time
honey, i rose up from the dead, i do it all the time
i've got a list of names and yours is in red, underlined
i check it once, then i check it twice, oh!

ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me—
ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me do


i don't like your kingdom keys
they once belonged to me
you asked me for a place to sleep
locked me out and threw a feast (what?)
the world moves on, another day, another drama, drama
but not for me, not for me, all i think about is karma
and then the world moves on, but one thing's for sure
maybe i got mine, but you'll all get yours


but i got smarter, i got harder in the nick of time
honey, i rose up from the dead, i do it all the time
i've got a list of names and yours is in red, underlined
i check it once, then i check it twice, oh!
you might also like
ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me—
ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me do


i don't trust nobody and nobody trusts me
i'll be the actress starring in your bad dreams
i don't trust nobody and nobody trusts me
i'll be the actress starring in your bad dreams
i don't trust nobody and nobody trusts me
i'll be the actress starring in your bad dreams
i don't trust nobody and nobody trusts me
i'll be the actress starring in your bad dreams
(ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me—
ooh, look what you made me do
look what you made me do
look what you just made me—)
""i'm sorry, the old taylor can't come to the phone right now
""why? oh, 'cause she's dead!"" (oh)

ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me—
ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me do
ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me—
ooh, look what you made me do
look what you made me do
look what you just made me do
look what you just made me do237embed",https://images.genius.com/01c5bf888fa73a6b25fb2dee1b4035ff.300x300x1.png,328,FrançaisEspañolHrvatskiPortuguêsPolskiItalianoDeutsch,7.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,7.0,reputation,2017-11-10,6.0,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,0.506,80.0,211853.0
betty,"
betty, i won't make assumptions
about why you switched your homeroom, but
i think it's 'cause of me
betty, one time i was riding on my skateboard
when i passed your house
it's like i couldn't breathe


you heard the rumors from inez
you can't believe a word she says
most times, but this time it was true
the worst thing that i ever did
was what i did to you

but if i just showed up at your party
would you have me? would you want me?
would you tell me to go fuck myself
or lead me to the garden?
in the garden, would you trust me
if i told you it was just a summer thing?
i'm only seventeen, i don't know anything
but i know i miss you


betty, i know where it all went wrong
your favorite song was playing
from the far side of the gym
i was nowhere to be found
i hate the crowds, you know that
plus, i saw you dance with him


you heard the rumors from inez
you can't believe a word she says
most times, but this time it was true
the worst thing that i ever did
was what i did to you


but if i just showed up at your party
would you have me? would you want me?
would you tell me to go fuck myself
or lead me to the garden?
in the garden, would you trust me
if i told you it was just a summer thing?
i'm only seventeen, i don't know anything
but i know i miss you
you might also like
i was walking home on broken cobblestones
just thinking of you when she pulled up like
a figment of my worst intentions
she said ""james, get in, let's drive""
those days turned into nights
slept next to her, but
i dreamt of you all summer long


betty, i'm here on your doorstep
and i planned it out for weeks now
but it's finally sinkin' in
betty, right now is the last time
i can dream about what happens when
you see my face again


the only thing i wanna do
is make it up to you
so i showed up at your party
yeah, i showed up at your party


yeah, i showed up at your party
will you have me? will you love me?
will you kiss me on the porch
in front of all your stupid friends?
if you kiss me, will it be just like i dreamed it?
will it patch your broken wings?
i'm only seventeen, i don't know anything
but i know i miss you

standing in your cardigan
kissin' in my car again
stopped at a streetlight
you know i miss you93embed",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,198,TürkçeEspañolСрпскиРусскийPortuguêsفارسیItalianoMagyarDeutschTaylor Swift - betty (Ελληνική μετάφραση/Greek Translation)FrançaisУкраїнська,11.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,8.0,folklore,2020-08-18,14.0,0.589,0.595,0.376,0.0,0.0989,-8.767,0.0256,95.946,0.476,66.0,294520.0
champagne problems,"
you booked the night train for a reason
so you could sit there in this hurt
bustling crowds or silent sleepers
you're not sure which is worse


because i dropped your hand while dancing
left you out there standing
crestfallen on the landing
champagne problems
your mom's ring in your pocket
my picture in your wallet
your heart was glass, i dropped it
champagne problems

you told your family for a reason
you couldn't keep it in
your sister splashed out on the bottle
now no one's celebrating


dom pérignon, you brought it
no crowd of friends applauded
your hometown skeptics called it
champagne problems
you had a speech, you're speechless
love slipped beyond your reaches
and i couldn't give a reason
champagne problems

your midas touch on the chevy door
november flush and your flannel cure
""this dorm was once a madhouse""
i made a joke, ""well, it's made for me""
how evergreen, our group of friends
don't think we'll say that word again
and soon they'll have the nerve to deck the halls
that we once walked through
one for the money, two for the show
i never was ready so i watch you go
sometimes you just don't know the answer
'til someone's on their knees and asks you
""she would've made such a lovely bride
what a shame she's fucked in the head,"" they said
but you'll find the real thing instead
she'll patch up your tapestry that i shred
you might also like
and hold your hand while dancing
never leave you standing
crestfallen on the landing
with champagne problems
your mom's ring in your pocket
her picture in your wallet
you won't remember all my
champagne problems


you won't remember all my
champagne problems112embed",https://images.genius.com/3e354c719fe236ab4a75adc6ea4c7fca.300x300x1.png,200,TürkçeEspañolRomânăPortuguêsItalianoDeutschFrançaisHrvatskiMagyarSvenskaУкраїнська,10.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,9.0,evermore,2021-01-07,2.0,0.92,0.462,0.24,0.0,0.113,-12.077,0.0377,171.319,0.32,70.0,244000.0
blank space,"
nice to meet you, where you been?
i could show you incredible things
magic, madness, heaven, sin
saw you there and i thought
""oh, my god, look at that face
you look like my next mistake
love's a game, wanna play?"" ayy
new money, suit and tie
i can read you like a magazine
ain't it funny? rumors fly
and i know you heard about me
so, hey, let's be friends
i'm dying to see how this one ends
grab your passport and my hand
i can make the bad guys good for a weekend

so, it's gonna be forever
or it's gonna go down in flames?
you can tell me when it's over, mm
if the high was worth the pain
got a long list of ex-lovers
they'll tell you i'm insane
'cause you know i love the players
and you love the game
'cause we're young and we're reckless
we'll take this way too far
it'll leave you breathless, mm
or with a nasty scar
got a long list of ex-lovers
they'll tell you i'm insane
but i've got a blank space, baby
and i'll write your name


cherry lips, crystal skies
i could show you incredible things
stolen kisses, pretty lies
you're the king, baby, i'm your queen
find out what you want
be that girl for a month
wait, the worst is yet to come, oh, no
screaming, crying, perfect storms
i can make all the tables turn
rose garden filled with thorns
keep you second guessing, like
""oh, my god, who is she?""
i get drunk on jealousy
but you'll come back each time you leave
'cause, darling, i'm a nightmare dressed like a daydream
you might also like
so, it's gonna be forever
or it's gonna go down in flames?
you can tell me when it's over, mm
if the high was worth the pain
got a long list of ex-lovers
they'll tell you i'm insane
'cause you know i love the players
and you love the game
'cause we're young and we're reckless (oh)
we'll take this way too far
it'll leave you breathless (oh-oh), mm
or with a nasty scar
got a long list of ex-lovers
they'll tell you i'm insane (insane)
but i've got a blank space, baby
and i'll write your name


boys only want love if it's torture
don't say i didn't, say i didn't warn ya
boys only want love if it's torture
don't say i didn't, say i didn't warn ya


so, it's gonna be forever
or it's gonna go down in flames?
you can tell me when it's over (over), mm
if the high was worth the pain
got a long list of ex-lovers
they'll tell you i'm insane (i'm insane)
'cause you know i love the players
and you love the game (and you love the game)
'cause we're young and we're reckless (yeah)
we'll take this way too far (ooh)
it'll leave you breathless, mm
or with a nasty scar (with a nasty scar)
got a long list of ex-lovers
they'll tell you i'm insane
but i've got a blank space, baby
and i'll write your name1kembed",https://images.genius.com/d022400aad4680759c278a348d5aaa9b.300x300x1.png,237,TürkçeEspañolPortuguêsPolskiΕλληνικάFrançais,5.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,10.0,1989,2014-10-27,2.0,0.085,0.753,0.678,1.64e-06,0.13,-5.421,0.0644,96.006,0.583,78.0,231826.0
